aX,aY,aZ,gX,gY,gZ
5.914,13.072,3.033,0.352,-0.499,-0.587
6.117,12.850,2.974,0.074,-0.547,-0.523
6.251,12.586,2.966,-0.116,-0.573,-0.473
6.397,12.222,2.978,-0.289,-0.592,-0.426
6.608,11.660,3.000,-0.490,-0.612,-0.363
6.742,11.214,3.029,-0.609,-0.618,-0.318
6.898,10.635,3.079,-0.726,-0.621,-0.255
7.235,8.818,3.438,-0.799,-0.609,-0.060
7.274,8.464,3.553,-0.765,-0.608,-0.023
7.281,7.999,3.637,-0.693,-0.607,0.022
7.281,7.685,3.670,-0.626,-0.608,0.056
7.302,7.410,3.673,-0.552,-0.608,0.085
7.341,7.123,3.625,-0.446,-0.597,0.119
7.343,6.958,3.579,-0.365,-0.579,0.139
7.365,6.780,3.512,-0.261,-0.549,0.159
7.396,6.694,3.469,-0.190,-0.517,0.165
7.458,6.639,3.431,-0.127,-0.475,0.164
7.491,6.615,3.395,-0.053,-0.406,0.153
7.515,6.596,3.373,-0.010,-0.351,0.138
7.530,6.601,3.393,0.019,-0.300,0.121
7.547,6.620,3.436,0.036,-0.240,0.095
7.558,6.651,3.467,0.034,-0.205,0.074
7.566,6.665,3.493,0.025,-0.178,0.054
7.554,6.665,3.551,0.011,-0.151,0.033
7.563,6.661,3.610,0.000,-0.138,0.023
7.580,6.673,3.666,-0.009,-0.132,0.018
7.626,6.670,3.723,-0.015,-0.128,0.022
7.633,6.661,3.776,-0.011,-0.125,0.034
7.633,6.622,3.826,0.001,-0.120,0.054
7.604,6.567,3.912,0.020,-0.111,0.088
7.575,6.503,4.005,0.028,-0.107,0.115
7.568,6.419,4.082,0.029,-0.107,0.141
7.549,6.318,4.195,0.016,-0.110,0.171
7.532,6.244,4.278,-0.002,-0.115,0.189
7.535,6.170,4.365,-0.031,-0.119,0.205
7.568,6.081,4.451,-0.084,-0.124,0.214
7.590,5.997,4.518,-0.135,-0.126,0.216
7.602,5.911,4.590,-0.196,-0.125,0.211
7.666,5.794,4.652,-0.291,-0.123,0.192
7.707,5.713,4.666,-0.366,-0.117,0.173
7.733,5.634,4.683,-0.438,-0.105,0.151
7.767,5.543,4.678,-0.522,-0.078,0.120
7.793,5.471,4.705,-0.575,-0.050,0.095
7.807,5.375,4.762,-0.616,-0.019,0.072
7.807,5.282,4.810,-0.653,0.019,0.042
7.803,5.212,4.872,-0.663,0.047,0.022
7.776,5.138,4.913,-0.657,0.075,0.008
7.705,5.035,4.951,-0.624,0.104,-0.005
7.664,4.949,4.963,-0.588,0.120,-0.011
7.621,4.867,4.975,-0.539,0.134,-0.013
7.544,4.786,4.990,-0.459,0.142,-0.013
7.491,4.752,4.994,-0.390,0.144,-0.009
7.448,4.748,4.990,-0.317,0.142,-0.004
7.400,4.764,4.978,-0.220,0.138,0.002
7.377,4.796,4.951,-0.152,0.134,0.005
7.362,4.855,4.934,-0.093,0.129,0.006
7.357,4.951,4.908,-0.026,0.126,0.003
7.360,5.025,4.884,0.015,0.126,-0.001
7.355,5.092,4.834,0.048,0.128,-0.005
7.360,5.207,4.793,0.078,0.138,-0.013
7.350,5.313,4.767,0.091,0.150,-0.020
7.338,5.401,4.733,0.097,0.164,-0.026
7.283,5.502,4.712,0.092,0.183,-0.034
7.247,5.562,4.693,0.082,0.195,-0.038
7.197,5.614,4.721,0.064,0.203,-0.040
7.120,5.696,4.724,0.038,0.209,-0.038
7.072,5.739,4.752,0.018,0.209,-0.032
7.013,5.768,4.776,-0.005,0.206,-0.023
6.965,5.794,4.772,-0.036,0.195,-0.007
6.926,5.816,4.776,-0.057,0.184,0.008
6.910,5.842,4.772,-0.076,0.173,0.026
6.898,5.887,4.772,-0.099,0.159,0.050
6.902,5.904,4.786,-0.115,0.152,0.069
6.910,5.902,4.817,-0.134,0.143,0.084
6.912,5.863,4.820,-0.158,0.135,0.104
6.924,5.830,4.843,-0.177,0.129,0.117
6.934,5.789,4.853,-0.197,0.124,0.128
6.941,5.737,4.882,-0.218,0.122,0.138
6.955,5.672,4.899,-0.248,0.117,0.151
6.972,5.634,4.918,-0.273,0.114,0.157
6.967,5.562,4.930,-0.300,0.109,0.161
6.981,5.488,4.951,-0.338,0.105,0.164
6.998,5.423,4.970,-0.367,0.102,0.162
7.027,5.351,4.997,-0.393,0.098,0.159
7.072,5.282,5.006,-0.425,0.096,0.153
7.099,5.205,5.013,-0.444,0.096,0.148
7.120,5.145,4.999,-0.458,0.100,0.141
7.156,5.085,4.994,-0.467,0.109,0.133
7.175,5.040,4.985,-0.466,0.121,0.127
7.197,4.990,4.963,-0.457,0.136,0.122
7.190,4.920,4.968,-0.435,0.160,0.116
7.173,4.870,4.990,-0.415,0.177,0.112
7.161,4.839,4.985,-0.394,0.195,0.109
7.128,4.808,4.961,-0.363,0.212,0.106
7.096,4.784,4.978,-0.340,0.220,0.105
7.061,4.767,4.982,-0.317,0.218,0.104
7.010,4.752,4.994,-0.290,0.197,0.105
6.974,4.724,5.018,-0.270,0.171,0.106
6.936,4.719,5.035,-0.251,0.139,0.108
6.907,4.721,5.023,-0.221,0.087,0.116
6.888,4.721,5.030,-0.195,0.049,0.122
6.883,4.724,5.016,-0.167,0.016,0.131
6.840,4.709,4.994,-0.125,-0.029,0.144
