aX,aY,aZ,gX,gY,gZ
4.664,4.204,-8.296,-0.055,-0.091,0.035
4.673,4.192,-8.341,-0.050,-0.093,0.040
4.678,4.185,-8.368,-0.046,-0.093,0.044
4.697,4.190,-8.389,-0.043,-0.094,0.046
4.733,4.207,-8.430,-0.038,-0.093,0.048
4.733,4.214,-8.452,-0.035,-0.091,0.048
4.736,4.223,-8.478,-0.033,-0.090,0.046
4.733,4.231,-8.497,-0.032,-0.088,0.040
4.729,4.262,-8.593,-0.041,-0.075,0.018
4.724,4.257,-8.602,-0.046,-0.068,0.013
4.729,4.254,-8.617,-0.049,-0.061,0.010
4.726,4.250,-8.617,-0.055,-0.054,0.007
4.721,4.245,-8.598,-0.061,-0.043,0.006
4.731,4.240,-8.581,-0.066,-0.035,0.003
4.712,4.240,-8.564,-0.071,-0.025,0.002
4.700,4.223,-8.569,-0.073,-0.017,0.001
4.678,4.202,-8.571,-0.072,-0.009,0.001
4.611,4.168,-8.595,-0.070,-0.003,-0.001
4.585,4.154,-8.602,-0.066,0.001,-0.001
4.561,4.149,-8.593,-0.062,0.003,-0.002
4.542,4.149,-8.590,-0.054,0.004,-0.002
4.527,4.132,-8.590,-0.047,0.005,-0.002
4.537,4.123,-8.578,-0.038,0.007,-0.003
4.530,4.123,-8.569,-0.028,0.009,-0.002
4.532,4.116,-8.557,-0.020,0.012,-0.002
4.559,4.125,-8.562,-0.011,0.018,-0.003
4.561,4.152,-8.526,-0.006,0.025,-0.002
4.549,4.168,-8.507,-0.002,0.031,-0.003
4.525,4.195,-8.507,0.002,0.041,-0.004
4.501,4.207,-8.519,0.004,0.046,-0.004
4.472,4.204,-8.540,0.006,0.050,-0.005
4.446,4.187,-8.533,0.008,0.053,-0.005
4.429,4.175,-8.514,0.009,0.052,-0.005
4.401,4.173,-8.502,0.010,0.049,-0.005
4.401,4.178,-8.490,0.012,0.045,-0.004
4.417,4.183,-8.461,0.013,0.042,-0.002
4.429,4.173,-8.442,0.014,0.038,-0.001
4.482,4.173,-8.420,0.014,0.035,0.002
4.496,4.171,-8.411,0.014,0.034,0.004
4.523,4.171,-8.373,0.011,0.035,0.004
4.561,4.173,-8.337,0.005,0.037,0.005
4.585,4.190,-8.339,-0.001,0.040,0.004
4.590,4.190,-8.329,-0.007,0.044,0.003
4.587,4.216,-8.332,-0.017,0.049,0.001
4.575,4.219,-8.329,-0.023,0.052,-0.002
4.556,4.211,-8.329,-0.027,0.054,-0.003
4.539,4.171,-8.322,-0.033,0.055,-0.003
4.511,4.149,-8.327,-0.034,0.056,-0.001
4.515,4.108,-8.305,-0.035,0.056,0.002
4.515,4.096,-8.282,-0.036,0.056,0.005
4.530,4.099,-8.260,-0.035,0.055,0.008
4.549,4.101,-8.262,-0.036,0.051,0.012
4.566,4.108,-8.246,-0.037,0.047,0.015
4.580,4.101,-8.236,-0.038,0.046,0.017
4.606,4.094,-8.203,-0.042,0.046,0.017
4.633,4.113,-8.200,-0.047,0.046,0.016
4.638,4.128,-8.205,-0.054,0.045,0.014
4.654,4.125,-8.183,-0.065,0.045,0.009
4.659,4.142,-8.171,-0.075,0.045,0.004
4.702,4.154,-8.157,-0.089,0.046,-0.002
4.700,4.180,-8.135,-0.107,0.050,-0.009
4.688,4.171,-8.147,-0.119,0.053,-0.014
4.645,4.156,-8.162,-0.131,0.053,-0.022
4.609,4.144,-8.176,-0.138,0.052,-0.026
4.580,4.128,-8.210,-0.143,0.049,-0.029
4.563,4.111,-8.243,-0.145,0.044,-0.033
4.571,4.099,-8.243,-0.142,0.039,-0.033
4.578,4.099,-8.243,-0.137,0.035,-0.032
4.599,4.104,-8.226,-0.128,0.030,-0.030
4.611,4.111,-8.224,-0.119,0.027,-0.028
4.618,4.113,-8.224,-0.111,0.023,-0.025
4.614,4.142,-8.219,-0.099,0.019,-0.022
4.602,4.185,-8.226,-0.092,0.015,-0.021
4.592,4.245,-8.229,-0.089,0.011,-0.021
4.580,4.286,-8.229,-0.089,0.006,-0.022
4.592,4.334,-8.243,-0.091,0.000,-0.024
4.587,4.374,-8.234,-0.098,-0.007,-0.029
4.602,4.410,-8.238,-0.106,-0.012,-0.032
4.626,4.436,-8.248,-0.114,-0.017,-0.036
4.640,4.446,-8.262,-0.128,-0.021,-0.038
4.647,4.448,-8.255,-0.137,-0.022,-0.040
4.664,4.446,-8.243,-0.150,-0.020,-0.039
4.678,4.456,-8.255,-0.158,-0.018,-0.039
4.688,4.451,-8.265,-0.165,-0.015,-0.038
4.707,4.444,-8.262,-0.171,-0.011,-0.035
4.705,4.448,-8.279,-0.173,-0.008,-0.032
4.702,4.451,-8.294,-0.173,-0.005,-0.030
4.705,4.463,-8.305,-0.171,0.000,-0.025
4.705,4.453,-8.329,-0.171,0.005,-0.022
4.714,4.472,-8.313,-0.171,0.011,-0.017
4.712,4.492,-8.308,-0.171,0.015,-0.013
4.724,4.506,-8.313,-0.172,0.021,-0.010
4.736,4.525,-8.310,-0.175,0.028,-0.006

4.319,5.696,-10.918,1.006,-4.766,-1.696
4.396,5.978,-11.238,0.931,-4.709,-1.656
4.659,6.105,-11.602,0.831,-4.673,-1.627
4.836,6.388,-12.165,0.673,-4.573,-1.616
4.652,6.620,-12.390,0.556,-4.488,-1.610
4.322,6.814,-12.577,0.431,-4.453,-1.600
4.171,6.970,-13.223,0.261,-4.450,-1.575
4.310,7.063,-13.774,0.135,-4.415,-1.560
4.535,7.099,-14.248,-0.005,-4.322,-1.531
4.602,7.077,-14.336,-0.077,-4.250,-1.493
4.647,6.970,-14.353,-0.119,-4.198,-1.433
4.851,6.773,-14.451,-0.135,-4.128,-1.332
5.095,6.598,-14.528,-0.122,-4.049,-1.248
5.298,6.438,-14.526,-0.090,-3.954,-1.159
5.531,6.223,-14.483,-0.028,-3.828,-1.031
5.739,6.036,-14.461,0.024,-3.736,-0.932
6.069,5.772,-14.518,0.086,-3.604,-0.810
6.290,5.598,-14.523,0.126,-3.495,-0.727
6.474,5.459,-14.485,0.163,-3.387,-0.654
6.553,5.337,-14.377,0.227,-3.250,-0.570
6.519,5.250,-14.348,0.291,-3.163,-0.517
6.472,5.167,-14.494,0.374,-3.092,-0.479
6.342,5.040,-14.885,0.504,-3.011,-0.450
6.191,4.927,-15.232,0.613,-2.953,-0.438
6.041,4.841,-15.591,0.749,-2.875,-0.425
6.024,4.788,-15.751,0.837,-2.810,-0.413
6.086,4.721,-15.828,0.913,-2.738,-0.398
6.235,4.685,-15.833,0.988,-2.633,-0.380
6.373,4.678,-15.768,1.023,-2.554,-0.367
6.914,4.372,-15.569,1.003,-2.550,-0.366
8.279,4.381,-16.458,0.776,-2.470,-0.500
7.678,4.896,-15.641,0.571,-2.191,-0.635
7.003,4.872,-14.111,0.352,-2.322,-0.728
6.642,4.913,-14.329,0.094,-2.737,-0.840
6.560,5.001,-15.261,0.009,-2.818,-0.854
6.565,5.052,-15.658,0.033,-2.633,-0.805
6.472,4.973,-15.423,0.098,-2.429,-0.741
6.340,4.879,-15.048,0.151,-2.252,-0.677
6.294,4.820,-14.722,0.150,-2.111,-0.613
