aX,aY,aZ,gX,gY,gZ
3.390,3.737,6.448,-0.397,-0.427,0.206
3.476,3.816,6.541,-0.307,-0.467,0.173
3.618,3.919,6.625,-0.167,-0.522,0.140
3.737,4.001,6.663,-0.049,-0.574,0.126
3.907,4.132,6.728,0.077,-0.624,0.118
4.132,4.286,6.812,0.251,-0.677,0.117
4.286,4.405,6.840,0.386,-0.711,0.129
4.477,4.590,6.886,0.521,-0.727,0.145
4.757,4.781,6.902,0.697,-0.728,0.177
4.982,4.942,6.936,0.810,-0.694,0.200
5.227,5.116,6.926,0.906,-0.653,0.218
5.509,5.363,6.867,0.990,-0.609,0.228
5.715,5.576,6.783,1.023,-0.593,0.228
5.892,5.751,6.723,1.035,-0.589,0.225
6.129,5.969,6.598,1.022,-0.602,0.214
6.309,6.108,6.515,0.999,-0.614,0.204
6.472,6.220,6.438,0.974,-0.621,0.193
6.675,6.309,6.371,0.948,-0.630,0.184
6.821,6.323,6.316,0.937,-0.616,0.183
6.989,6.292,6.251,0.933,-0.586,0.187
7.257,6.203,6.155,0.926,-0.532,0.193
7.441,6.129,6.067,0.906,-0.498,0.190
7.597,6.029,5.971,0.875,-0.480,0.179
7.834,5.892,5.808,0.809,-0.497,0.151
7.994,5.808,5.720,0.746,-0.514,0.122
8.119,5.710,5.636,0.684,-0.537,0.093
8.272,5.612,5.543,0.599,-0.551,0.050
8.401,5.571,5.504,0.541,-0.552,0.021
8.504,5.528,5.456,0.487,-0.533,-0.009
8.619,5.488,5.385,0.428,-0.495,-0.042
8.662,5.425,5.356,0.395,-0.440,-0.056
8.705,5.365,5.298,0.363,-0.377,-0.067
8.763,5.282,5.181,0.316,-0.310,-0.077
8.787,5.195,5.107,0.278,-0.267,-0.085
8.811,5.112,5.080,0.237,-0.228,-0.092
8.847,4.997,5.006,0.179,-0.191,-0.105
8.861,4.903,4.961,0.131,-0.176,-0.115
8.871,4.812,4.906,0.084,-0.169,-0.127
8.880,4.685,4.877,0.026,-0.165,-0.141
8.868,4.575,4.860,-0.009,-0.153,-0.147
8.851,4.472,4.843,-0.037,-0.131,-0.150
8.825,4.310,4.800,-0.065,-0.088,-0.147
8.792,4.183,4.786,-0.080,-0.052,-0.142
8.784,4.049,4.767,-0.095,-0.014,-0.140
8.765,3.900,4.707,-0.119,0.023,-0.139
8.734,3.804,4.676,-0.141,0.044,-0.141
8.710,3.706,4.635,-0.166,0.063,-0.145
8.703,3.610,4.592,-0.206,0.090,-0.151
8.693,3.560,4.563,-0.240,0.112,-0.158
8.681,3.536,4.511,-0.295,0.149,-0.169
8.669,3.553,4.468,-0.339,0.177,-0.177
8.643,3.591,4.417,-0.389,0.200,-0.186
8.574,3.668,4.408,-0.458,0.229,-0.195
8.590,3.682,4.391,-0.512,0.249,-0.200
8.593,3.725,4.393,-0.564,0.272,-0.205
8.550,3.773,4.334,-0.622,0.306,-0.210
8.540,3.766,4.305,-0.658,0.332,-0.206
8.552,3.757,4.298,-0.689,0.360,-0.201
8.571,3.721,4.312,-0.724,0.407,-0.195
8.617,3.704,4.334,-0.748,0.454,-0.192
8.641,3.685,4.326,-0.776,0.493,-0.189
8.643,3.656,4.329,-0.814,0.534,-0.188
8.655,3.646,4.302,-0.849,0.553,-0.191
8.598,3.639,4.283,-0.882,0.562,-0.196
8.533,3.582,4.269,-0.913,0.540,-0.196
8.504,3.587,4.319,-0.933,0.523,-0.196
8.444,3.587,4.355,-0.944,0.516,-0.194
8.320,3.560,4.410,-0.933,0.499,-0.182
8.258,3.548,4.460,-0.917,0.485,-0.170
8.176,3.498,4.482,-0.897,0.472,-0.157
8.054,3.414,4.513,-0.857,0.439,-0.137
8.009,3.342,4.549,-0.822,0.407,-0.121
7.963,3.266,4.609,-0.785,0.378,-0.110
7.891,3.165,4.638,-0.738,0.327,-0.100
7.841,3.096,4.642,-0.705,0.265,-0.097

-2.962,12.495,5.825,1.112,0.389,-3.401
-2.847,13.647,6.112,1.121,0.369,-3.384
-2.670,15.225,6.574,1.096,0.336,-3.351
-2.483,16.388,6.902,1.047,0.305,-3.312
-2.308,17.506,7.214,0.968,0.271,-3.266
-1.968,18.818,7.633,0.815,0.220,-3.197
-1.642,19.688,7.982,0.677,0.173,-3.140
-1.312,20.432,8.282,0.525,0.124,-3.080
-0.855,21.198,8.636,0.316,0.053,-2.999
-0.464,21.567,8.847,0.163,-0.000,-2.934
-0.084,21.775,9.072,0.022,-0.049,-2.864
0.448,21.833,9.352,-0.133,-0.109,-2.767
0.867,21.763,9.531,-0.220,-0.153,-2.689
1.293,21.658,9.881,-0.300,-0.185,-2.585
1.750,21.371,9.519,-0.359,-0.218,-2.508
2.210,21.414,9.759,-0.404,-0.569,-2.484
2.461,20.961,10.417,-0.347,-0.448,-2.400
2.509,20.554,10.496,-0.226,-0.341,-2.282
2.588,20.269,10.470,-0.077,-0.297,-2.151
2.543,19.798,10.542,0.135,-0.181,-1.953
2.550,19.484,10.362,0.260,-0.164,-1.810
2.559,19.211,10.027,0.363,-0.324,-1.691
2.662,18.771,9.924,0.491,-0.647,-1.541
2.942,18.462,10.156,0.588,-0.749,-1.433
3.330,18.201,10.230,0.663,-0.723,-1.333
3.692,17.968,10.075,0.738,-0.629,-1.223
3.847,17.830,9.680,0.765,-0.593,-1.149
4.049,17.777,9.179,0.763,-0.690,-1.079
4.527,17.940,8.851,0.700,-0.884,-1.012
4.951,18.103,8.796,0.620,-0.989,-0.975
5.341,18.239,8.770,0.522,-1.015,-0.944
5.775,18.399,8.681,0.373,-0.987,-0.909
6.021,18.416,8.581,0.259,-0.929,-0.877
6.294,18.452,8.461,0.135,-0.881,-0.852
6.555,18.373,8.241,-0.026,-0.826,-0.809
6.744,18.273,8.006,-0.144,-0.846,-0.774
6.991,18.028,7.803,-0.289,-0.946,-0.718
7.180,17.772,7.793,-0.387,-1.021,-0.668
7.348,17.485,7.812,-0.465,-1.067,-0.604
7.582,16.970,7.728,-0.539,-1.148,-0.492
7.738,16.532,7.796,-0.580,-1.178,-0.400
7.851,15.988,7.855,-0.592,-1.178,-0.298
8.059,15.244,7.767,-0.597,-1.183,-0.153
8.341,14.736,7.805,-0.595,-1.166,-0.056
8.566,14.305,7.915,-0.573,-1.107,0.028
8.720,13.827,7.841,-0.534,-0.989,0.138
8.902,13.601,7.508,-0.516,-0.970,0.203
9.043,13.324,7.214,-0.515,-1.007,0.247
9.210,12.962,7.029,-0.534,-1.083,0.288
9.421,12.718,6.864,-0.558,-1.161,0.318
9.708,12.306,6.800,-0.555,-1.237,0.358
