aX,aY,aZ,gX,gY,gZ
0.476,-15.926,6.723,2.822,-0.306,4.278
0.055,-18.548,6.555,3.235,-0.191,4.137
-0.148,-21.040,6.642,3.504,-0.078,3.900
0.041,-25.237,6.273,3.630,-0.083,3.319
-0.271,-27.869,5.578,3.606,-0.140,2.719
-0.682,-28.762,4.250,3.511,-0.313,2.074
-1.173,-28.129,2.552,3.237,-0.600,1.256
-1.432,-27.368,1.954,2.895,-0.725,0.679
-1.283,-26.963,1.925,2.482,-0.730,0.114
-0.476,-26.808,2.337,1.929,-0.551,-0.618
0.237,-26.528,2.897,1.559,-0.346,-1.120
0.874,-25.680,3.658,1.253,-0.124,-1.551
1.568,-23.351,4.736,0.921,0.131,-1.994
2.138,-20.978,5.447,0.690,0.281,-2.226
3.089,-17.619,6.249,0.370,0.429,-2.424
3.929,-15.273,6.800,0.123,0.509,-2.512
4.846,-13.175,7.288,-0.113,0.575,-2.565
6.055,-10.870,7.796,-0.385,0.648,-2.601
6.730,-9.589,8.006,-0.550,0.708,-2.610
7.108,-8.547,8.107,-0.691,0.782,-2.609
7.161,-7.307,8.229,-0.841,0.881,-2.575
6.972,-6.543,8.329,-0.926,0.940,-2.516
6.780,-5.911,8.411,-1.002,0.969,-2.444
6.596,-5.224,8.475,-1.098,0.971,-2.347
6.515,-4.647,8.423,-1.178,0.960,-2.277
6.529,-3.670,8.384,-1.289,0.930,-2.183
6.591,-2.753,8.475,-1.369,0.888,-2.114
6.699,-1.793,8.617,-1.435,0.835,-2.041
6.974,-0.699,8.859,-1.496,0.764,-1.949
7.298,-0.120,8.976,-1.516,0.712,-1.897
7.707,0.364,8.997,-1.507,0.657,-1.861
8.284,1.032,8.969,-1.449,0.574,-1.829
8.641,1.647,8.990,-1.374,0.500,-1.808
8.942,2.361,8.997,-1.276,0.412,-1.787
9.347,3.369,8.909,-1.120,0.276,-1.755
9.591,4.190,8.796,-0.971,0.169,-1.720
9.838,5.025,8.681,-0.785,0.057,-1.670
10.197,6.167,8.538,-0.475,-0.098,-1.575
10.501,7.070,8.411,-0.205,-0.213,-1.481
10.843,8.028,8.207,0.084,-0.321,-1.367
11.310,9.373,7.779,0.483,-0.444,-1.184
11.621,10.393,7.377,0.780,-0.522,-1.020
11.928,11.442,6.919,1.060,-0.590,-0.835
12.340,12.845,6.306,1.384,-0.658,-0.554
12.629,13.836,5.830,1.581,-0.685,-0.322
12.893,14.724,5.377,1.729,-0.690,-0.071
13.173,15.737,4.810,1.850,-0.665,0.289
13.305,16.288,4.384,1.879,-0.631,0.574
13.333,16.791,3.850,1.840,-0.564,0.972
13.264,16.994,3.493,1.756,-0.501,1.280
13.087,17.049,3.203,1.636,-0.423,1.593
