aX,aY,aZ,gX,gY,gZ
-7.369,5.306,11.219,-0.314,-0.414,1.140
-6.998,4.973,11.715,-0.299,-0.596,1.346
-6.361,4.389,12.198,-0.253,-0.872,1.602
-5.993,3.838,12.333,-0.213,-1.068,1.791
-5.511,3.326,12.373,-0.159,-1.251,1.978
-4.764,2.871,12.227,-0.034,-1.513,2.146
-4.259,2.672,11.942,0.099,-1.723,2.208
-3.804,2.504,11.574,0.259,-1.943,2.231
-3.069,2.526,10.932,0.446,-2.213,2.209
-2.471,2.571,10.388,0.525,-2.382,2.162
-1.812,2.602,9.787,0.532,-2.512,2.087
-1.147,2.473,9.029,0.440,-2.615,1.956
-0.704,2.277,8.478,0.332,-2.648,1.840
-0.330,2.002,7.989,0.218,-2.647,1.710
0.160,1.504,7.398,0.084,-2.604,1.522
0.500,1.142,7.005,0.002,-2.541,1.367
0.836,0.781,6.656,-0.067,-2.456,1.204
1.089,0.414,6.388,-0.119,-2.348,1.045
1.482,0.012,6.136,-0.155,-2.174,0.850
1.755,-0.225,5.976,-0.167,-2.017,0.710
1.978,-0.414,5.856,-0.168,-1.844,0.579
2.191,-0.524,5.782,-0.168,-1.594,0.402
2.298,-0.481,5.782,-0.172,-1.401,0.273
2.421,-0.299,5.885,-0.186,-1.142,0.113
2.411,-0.151,6.072,-0.199,-0.951,0.004
2.394,0.010,6.297,-0.205,-0.768,-0.081
2.195,0.180,6.692,-0.203,-0.541,-0.163
2.028,0.318,7.008,-0.187,-0.389,-0.199
1.822,0.551,7.365,-0.167,-0.259,-0.219
1.863,1.025,7.822,-0.145,-0.126,-0.236
1.463,1.377,8.085,-0.146,-0.064,-0.270
1.410,1.776,8.303,-0.211,-0.022,-0.280
0.953,2.411,9.007,-0.269,0.052,-0.293
0.541,2.591,9.546,-0.245,0.035,-0.277
0.086,2.780,9.972,-0.157,-0.040,-0.237
-0.110,2.983,10.252,-0.031,-0.183,-0.158
-0.448,2.895,10.364,0.041,-0.281,-0.056
-0.448,2.899,10.444,0.085,-0.382,0.048
-0.687,2.780,10.657,0.135,-0.516,0.188
-0.505,2.804,10.678,0.196,-0.642,0.288
-0.417,2.935,10.640,0.249,-0.754,0.337
-0.376,3.105,10.357,0.301,-0.907,0.366
-0.323,3.280,10.077,0.306,-1.020,0.364
-0.254,3.479,9.804,0.281,-1.117,0.350
-0.263,3.701,9.483,0.237,-1.211,0.331
-0.218,3.840,9.227,0.207,-1.263,0.327
-0.146,3.984,8.971,0.169,-1.303,0.321
-0.041,4.070,8.562,0.095,-1.340,0.306
0.062,4.140,8.313,0.013,-1.347,0.278
0.103,4.128,8.128,-0.077,-1.334,0.244
0.081,4.017,7.954,-0.187,-1.297,0.197
0.007,3.879,7.889,-0.250,-1.260,0.174
-0.007,3.785,7.848,-0.296,-1.225,0.159
0.010,3.670,7.848,-0.340,-1.172,0.152
0.115,3.709,7.858,-0.355,-1.132,0.132
0.089,3.620,7.913,-0.360,-1.092,0.106
0.096,3.510,7.946,-0.357,-1.039,0.088
0.084,3.433,7.970,-0.357,-1.001,0.084
0.113,3.388,8.030,-0.367,-0.963,0.084
0.120,3.366,8.095,-0.391,-0.916,0.090
0.127,3.395,8.231,-0.433,-0.838,0.117
0.079,3.390,8.361,-0.463,-0.779,0.148
0.041,3.321,8.985,-0.447,-0.632,0.315
0.045,3.280,9.012,-0.416,-0.628,0.331
0.110,3.230,9.005,-0.383,-0.625,0.339
0.113,3.077,8.985,-0.338,-0.613,0.357
0.151,2.983,8.961,-0.301,-0.600,0.382
0.206,2.935,8.976,-0.263,-0.584,0.408
0.235,2.878,9.000,-0.202,-0.571,0.449
0.271,2.835,9.000,-0.153,-0.573,0.485
0.254,2.672,8.954,-0.101,-0.582,0.531
0.402,2.634,8.952,-0.053,-0.574,0.562
0.687,2.507,8.660,-0.051,-0.589,0.573
0.678,2.337,8.715,-0.081,-0.479,0.571
0.575,2.195,8.780,-0.071,-0.428,0.539
0.575,2.095,8.825,-0.049,-0.402,0.524
0.599,2.061,8.832,-0.007,-0.399,0.501
0.622,2.016,8.801,0.039,-0.400,0.438
0.575,1.942,8.751,0.063,-0.394,0.402
0.675,1.980,8.792,0.066,-0.361,0.359
0.558,1.899,8.871,0.064,-0.330,0.318
0.634,1.894,8.825,0.051,-0.302,0.279
0.630,1.846,8.911,0.028,-0.252,0.244
0.599,1.786,8.969,0.014,-0.220,0.217
0.613,1.738,9.052,0.001,-0.182,0.175
0.563,1.674,9.122,0.001,-0.158,0.149
0.558,1.681,9.179,0.007,-0.144,0.124
0.567,1.743,9.278,0.016,-0.125,0.078
0.474,1.757,9.364,0.031,-0.116,0.047
0.448,1.815,9.433,0.052,-0.123,0.024
0.393,1.927,9.505,0.071,-0.135,-0.001
0.340,2.016,9.550,0.078,-0.145,-0.003
0.311,2.119,9.613,0.075,-0.158,-0.004
0.268,2.174,9.670,0.070,-0.181,0.002
0.211,2.195,9.747,0.073,-0.204,0.010
0.177,2.203,9.778,0.085,-0.238,0.023
0.194,2.239,9.795,0.102,-0.276,0.033
0.237,2.289,9.816,0.130,-0.332,0.041
0.316,2.344,9.799,0.146,-0.377,0.042
0.376,2.411,9.713,0.154,-0.416,0.042
0.460,2.490,9.589,0.152,-0.459,0.040
0.510,2.533,9.493,0.144,-0.484,0.038
0.589,2.619,9.392,0.131,-0.503,0.036
0.658,2.689,9.285,0.106,-0.520,0.032
0.721,2.720,9.225,0.084,-0.532,0.029
0.788,2.775,9.139,0.056,-0.539,0.025
